Coach,From,To,Birth Date,College,Team ,Active
Chuck Daly*,1982,1999,July 20 1930,Bloomsburg University of Pennsylvania,Golden State Warriors,0
Mel Daniels*,1989,1989,July 20 1944,University of New Mexico,Portland Trail Blazers,0
Jimmy Darden,1950,1950,June 19 1922,University of Denver,Houston Rockets,0
Johnny Davis,1997,2009,October 21 1955,University of Dayton,Brooklyn Nets,0
Dave DeBusschere*,1965,1967,October 16 1940,University of Detroit Mercy,Phoenix Suns,0
Dutch Dehnert*,1947,1947,April 5 1898,,Charlotte Hornets,0
Vinny Del Negro,2009,2013,August 9 1966,North Carolina State University,Brooklyn Nets,0
Don Delaney,1981,1982,,,Detroit Pistons,0
Tony DiLeo,2009,2009,August 8 1955,La Salle University,New York Knicks,0
Harry Dinnel,1968,1968,October 9 1940,Pepperdine University,San Antonio Spurs,0
Terry Dischinger,1972,1972,November 21 1940,Purdue University,Chicago Bulls,0
Billy Donovan,2016,2019,May 30 1965,Providence College,Oklahoma City Thunder,1
Eddie Donovan,1962,1965,,,Miami Heat,0
Larry Drew,2011,2019,April 2 1958,University of Missouri,Cleveland Cavaliers,1
Ike Duffey,1950,1950,May 31 1906,,Philadelphia 76ers,0
Mike Dunlap,2013,2013,May 27 1957,Loyola Marymount University,Charlotte Hornets,0
Mike Dunleavy,1991,2010,March 21 1954,University of South Carolina,Houston Rockets,0
Charles Eckman,1955,1958,,,Chicago Bulls,0
Johnny Egan,1973,1976,January 31 1939,Providence College,New York Knicks,0
Mike Evans,2002,2002,April 19 1955,Kansas State University,New York Knicks,0
Mike Farmer,1967,1967,September 26 1936,University of San Francisco,Golden State Warriors,0
Bob Feerick,1950,1963,January 2 1920,Santa Clara University,Boston Celtics,0
Derek Fisher,2015,2016,August 9 1974,University of Arkansas at Little Rock,Memphis Grizzlies,0
Bill Fitch*,1971,1998,May 19 1934,Coe College,Atlanta Hawks,0
Dick Fitzgerald,1947,1947,November 18 1920,Fordham University,Cleveland Cavaliers,0
Cotton Fitzsimmons,1971,1997,October 7 1931,Midwestern State University,Utah Jazz,0
David Fizdale,2017,2019,June 16 1974,University of San Diego,New York Knicks,1
Tim Floyd,1999,2004,,,Atlanta Hawks,0
Chris Ford,1991,2004,January 11 1949,Villanova University,Minnesota Timberwolves,0
Lawrence Frank,2004,2013,August 23 1970,,Philadelphia 76ers,0
Mike Fratello,1981,2007,February 24 1947,Montclair State College,Atlanta Hawks,0
Burl Friddle,1949,1949,May 27 1900,,New York Knicks,0
Harry Gallatin*,1963,1966,April 26 1927,Truman State University,Memphis Grizzlies,0
Alvin Gentry,1995,2019,November 5 1954,Appalachian State University,New Orleans Pelicans,1
John Givens,1968,1968,May 12 1926,Western Kentucky University,Brooklyn Nets,0
Edward Gottlieb*,1947,1955,September 15 1898,Temple University,Cleveland Cavaliers,0
Ed Gregory,1988,1988,October 28 1931,Pepperdine University,Orlando Magic,0
Alex Groza,1971,1975,October 7 1926,University of Kentucky,Sacramento Kings,0
Richie Guerin*,1965,1972,May 29 1932,Iona College,San Antonio Spurs,0
Matt Guokas,1986,1993,February 25 1944,Saint Joseph's University,Houston Rockets,0
Cliff Hagan*,1968,1970,December 9 1931,University of Kentucky,Dallas Mavericks,0
Bruce Hale,1949,1968,August 30 1918,Santa Clara University,Denver Nuggets,0
Frank Hamblen,1992,2005,April 16 1947,Syracuse University,Utah Jazz,0
Leonard Hamilton,2001,2001,,,Atlanta Hawks,0
Alex Hannum*,1957,1974,July 19 1923,University of Southern California,Boston Celtics,0
Bill Hanzlik,1998,1998,December 6 1957,University of Notre Dame,Los Angeles Lakers,0
Jim Harding,1969,1969,,University of Iowa,Charlotte Hornets,0
Del Harris,1980,1999,June 18 1937,Milligan College,Atlanta Hawks,0
Les Harrison*,1949,1955,August 20 1904,,Los Angeles Clippers,0
Dick Harter,1989,1990,October 14 1930,University of Pennsylvania,Chicago Bulls,0
Lew Hayman,1947,1947,,Syracuse University,New York Knicks,0
Gar Heard,1993,2000,May 3 1948,University of Oklahoma,Utah Jazz,0
Tom Heinsohn*,1970,1978,August 26 1934,College of the Holy Cross,Minnesota Timberwolves,0
Nat Hickey,1948,1948,January 30 1902,,New Orleans Pelicans,0
Bob Hill,1987,2007,November 24 1948,Bowling Green State University,Atlanta Hawks,0
Brian Hill,1994,2007,September 19 1947,Kennedy College,Chicago Bulls,0
Fred Hoiberg,2016,2019,October 15 1972,Iowa State University,New Orleans Pelicans,0
Lionel Hollins,2000,2016,October 19 1953,Arizona State University,Miami Heat,0
Red Holzman*,1954,1982,August 10 1920,City College of New York,Dallas Mavericks,0
Bob Hopkins,1978,1978,November 3 1934,Grambling State University,Oklahoma City Thunder,0
Jeff Hornacek,2014,2018,May 3 1963,Iowa State University,San Antonio Spurs,0
Kim Hughes,2010,2010,June 4 1952,University of Wisconsin,Chicago Bulls,0
Rex Hughes,1992,1993,,,Los Angeles Lakers,0
Melvin Hunt,2015,2015,December 15 1969,Baylor University,Los Angeles Lakers,0
Lindsey Hunter,2013,2013,December 3 1970,Jackson State University,Houston Rockets,0
Marc Iavaroni,2008,2009,September 15 1956,University of Virginia,Los Angeles Clippers,0
Stu Inman,1972,1972,August 2 1926,San Jose State University,Detroit Pistons,0
George Irvine,1985,2001,February 1 1948,University of Washington,Charlotte Hornets,0
Dan Issel*,1993,2002,October 25 1948,University of Kentucky,Memphis Grizzlies,0
Mark Jackson,2012,2014,April 1 1965,St. John's University,Los Angeles Clippers,0
Phil Jackson*,1990,2011,September 17 1945,University of North Dakota,Utah Jazz,0
Stu Jackson,1990,1997,,,Philadelphia 76ers,0
Buddy Jeannette*,1948,1970,September 15 1917,Washington & Jefferson College,Cleveland Cavaliers,0
Chris Jent,2005,2005,January 11 1970,Ohio State University,San Antonio Spurs,0
Dave Joerger,2014,2019,February 21 1974,Minnesota State University Moorhead,Sacramento Kings,1
Avery Johnson,2005,2013,March 25 1965,Southern University and A&M College,Toronto Raptors,0
Dennis Johnson*,2003,2003,September 18 1954,Pepperdine University,New Orleans Pelicans,0
Frank Johnson,2002,2004,November 23 1958,Wake Forest University,Portland Trail Blazers,0
Magic Johnson*,1994,1994,August 14 1959,Michigan State University,New Orleans Pelicans,0
Phil Johnson,1974,1987,,,Orlando Magic,0
Neil Johnston*,1960,1961,February 4 1929,Ohio State University,Milwaukee Bucks,0
K.C. Jones*,1973,1992,May 25 1932,University of San Francisco,San Antonio Spurs,0
Wally Jones,1951,1951,,,Denver Nuggets,0
Eddie Jordan,1997,2010,January 29 1955,Rutgers University,Minnesota Timberwolves,0
Ed Jucker,1968,1969,,,Oklahoma City Thunder,0
Alvin Julian*,1949,1950,April 5 1901,Bucknell University,Atlanta Hawks,0
George Karl,1985,2016,May 12 1951,University of North Carolina,Cleveland Cavaliers,0
Bob Kauffman,1978,1978,July 13 1946,Guilford College,Phoenix Suns,0
Red Kerr,1967,1970,July 17 1932,University of Illinois at Urbana-Champaign,Toronto Raptors,0
Steve Kerr,2015,2019,September 27 1965,University of Arizona,Golden State Warriors,1
Jason Kidd*,2014,2018,March 23 1973,University of California,Miami Heat,0
Bob Kloppenburg,1982,1992,,,New York Knicks,0
Igor Kokoskov,2019,2019,,,Phoenix Suns,1
Lon Kruger,2001,2003,,,New York Knicks,0
Larry Krystkowiak,2007,2008,September 23 1964,University of Montana,Los Angeles Lakers,0
John Kuester,2010,2011,February 6 1955,University of North Carolina,Toronto Raptors,0
John Kundla*,1949,1959,July 3 1916,University of Minnesota,Philadelphia 76ers,0
Bob Lanier*,1995,1995,September 10 1948,St. Bonaventure University,Orlando Magic,0
Joe Lapchick*,1948,1956,April 12 1900,,Dallas Mavericks,0
York Larese,1970,1970,July 18 1938,University of North Carolina,Indiana Pacers,0
Frank Layden,1982,1989,January 5 1932,Niagara University,Sacramento Kings,0
George Lee,1969,1970,November 23 1936,University of Michigan,Cleveland Cavaliers,0
Slick Leonard*,1963,1980,July 17 1932,Indiana University,Golden State Warriors,0
Andrew Levane,1953,1962,April 11 1920,St. John's University,Minnesota Timberwolves,0
Grady Lewis,1949,1950,March 25 1917,University of Oklahoma,San Antonio Spurs,0
Gene Littles,1986,1995,June 29 1943,High Point University,Milwaukee Bucks,0
Earl Lloyd*,1972,1973,April 3 1928,West Virginia State University,Dallas Mavericks,0
Tates Locke,1977,1977,,,Milwaukee Bucks,0
Ken Loeffler*,1947,1949,April 14 1902,,Oklahoma City Thunder,0
John Logan,1951,1951,January 1 1921,Indiana University,Charlotte Hornets,0
Kevin Loughery,1973,1995,March 28 1940,St. John's University,New Orleans Pelicans,0
Sidney Lowe,1993,2003,January 21 1960,North Carolina State University,Atlanta Hawks,0
John Loyer,2014,2014,,,Portland Trail Blazers,0
John Lucas,1993,2003,October 31 1953,University of Maryland,New York Knicks,0
Tyronn Lue,2016,2019,May 3 1977,University of Nebraska,Charlotte Hornets,0
Jim Lynam,1984,1997,,Saint Joseph's University,Denver Nuggets,0
Ed Macauley*,1959,1960,March 22 1928,Saint Louis University,Los Angeles Clippers,0
Bob MacKinnon,1975,1988,December 5 1927,,Denver Nuggets,0
John MacLeod,1974,1991,October 3 1937,Bellarmine University,New Orleans Pelicans,0
Brendan Malone,1996,2005,,,Utah Jazz,0
Mike Malone,2014,2019,January 1 1971,Loyola College in Maryland,Denver Nuggets,1
Tom Marshall,1959,1960,January 6 1931,Western Kentucky University,Detroit Pistons,0
Slater Martin*,1957,1969,October 22 1925,University of Texas at Austin,Brooklyn Nets,0
Babe McCarthy,1968,1974,,,Minnesota Timberwolves,0
Johnny McCarthy,1972,1972,April 25 1934,Canisius College,Toronto Raptors,0
Jack McCloskey,1973,1974,September 19 1925,University of Pennsylvania,Brooklyn Nets,0
Dick McGuire*,1960,1968,January 25 1926,St. John's University,Phoenix Suns,0
Frank McGuire*,1962,1962,,,Indiana Pacers,0
Kevin McHale*,2005,2016,December 19 1957,University of Minnesota,Miami Heat,0
Morris McHone,1984,1984,June 17 1943,,Toronto Raptors,0
Bones McKinney,1951,1971,January 1 1919,University of North Carolina,Philadelphia 76ers,0
Jack McKinney,1980,1985,July 13 1935,Saint Joseph's University,Boston Celtics,0
John McLendon*,1970,1970,,,Milwaukee Bucks,0
Jack McMahon,1963,1972,December 3 1928,St. John's University,Memphis Grizzlies,0
Dave McMillan,1951,1951,December 24 1886,,New York Knicks,0
Nate McMillan,2001,2019,August 3 1964,North Carolina State University,Indiana Pacers,1
Murray Mendenhall,1950,1951,March 5 1898,,Los Angeles Clippers,0
Tom Meschery,1972,1972,October 26 1938,Saint Mary's College of California,Charlotte Hornets,0
George Mikan*,1958,1958,June 18 1924,DePaul University,Brooklyn Nets,0
Vern Mikkelsen*,1969,1969,October 21 1928,Hamline University,Golden State Warriors,0
Sam Mitchell,2005,2016,September 2 1963,Mercer University,Boston Celtics,0
Doug Moe,1977,1993,September 21 1938,University of North Carolina,Minnesota Timberwolves,0
Mike Montgomery,2005,2006,February 27 1947,California State University Long Beach,Charlotte Hornets,0
Doxie Moore,1950,1952,February 13 1911,,Minnesota Timberwolves,0
Robert Morris,1947,1947,,,Boston Celtics,0
Dick Motta,1969,1997,September 3 1931,Utah State University,New York Knicks,0
Joe Mullaney,1970,1977,November 17 1924,College of the Holy Cross,Phoenix Suns,0
Bill Musselman,1976,1991,,,Denver Nuggets,0
Eric Musselman,2003,2007,,,Brooklyn Nets,0
Pete Myers,2004,2008,September 15 1963,University of Arkansas at Little Rock,New York Knicks,0
Kenny Natt,2009,2009,October 5 1958,University of Louisiana at Monroe,Boston Celtics,0
Don Nelson*,1977,2010,May 15 1940,University of Iowa,Cleveland Cavaliers,0
Tom Nissalke,1972,1984,July 7 1932,,San Antonio Spurs,0
Nick Nurse,2019,2019,,,Toronto Raptors,1
Jim O'Brien,2001,2011,February 11 1952,Saint Joseph's University,Dallas Mavericks,0
Kevin O'Neill,2004,2004,January 24 1957,McGill University,Orlando Magic,0
Harold Olsen*,1947,1949,May 12 1895,University of Wisconsin,Utah Jazz,0
Bob Pettit*,1962,1962,December 12 1932,Louisiana State University,Toronto Raptors,0
Randy Pfund,1993,1994,,,Atlanta Hawks,0
Andy Phillip*,1959,1959,March 7 1922,University of Illinois at Urbana-Champaign,Utah Jazz,0
Lloyd Pierce,2019,2019,May 11 1976,Santa Clara University,Atlanta Hawks,1
Rick Pitino*,1988,2001,September 18 1952,University of Massachusetts Amherst,San Antonio Spurs,0
Jim Pollard*,1960,1970,July 9 1922,Stanford University,Milwaukee Bucks,0
Gregg Popovich,1997,2019,January 28 1949,United States Air Force Academy,San Antonio Spurs,1
Terry Porter,2004,2009,April 8 1963,University of Wisconsin-Stevens Point,Brooklyn Nets,0
Roger Potter,1950,1950,,,Sacramento Kings,0
Kevin Pritchard,2005,2005,July 17 1967,University of Kansas,New Orleans Pelicans,0
Joe Prunty,2018,2018,February 12 1969,California Polytechnic State University San Luis Obispo,Indiana Pacers,0
Kurt Rambis,1999,2016,February 25 1958,Santa Clara University,Cleveland Cavaliers,0
Jack Ramsay*,1969,1989,February 21 1925,Saint Joseph's University,San Antonio Spurs,0
Frank Ramsey*,1971,1971,July 13 1931,University of Kentucky,Oklahoma City Thunder,0
Willis Reed*,1978,1989,June 25 1942,Grambling State University,Indiana Pacers,0
Chick Reiser,1952,1953,December 17 1914,New York University,Philadelphia 76ers,0
Jerry Reynolds,1987,1990,,,Atlanta Hawks,0
Gene Rhodes,1968,1971,September 2 1927,Western Kentucky University,Oklahoma City Thunder,0
Pat Riley*,1982,2008,March 20 1945,University of Kentucky,Brooklyn Nets,0
Doc Rivers,2000,2019,October 13 1961,Marquette University,Los Angeles Clippers,1
Scotty Robertson,1975,1983,February 1 1930,,Cleveland Cavaliers,0
Red Rocha,1958,1960,September 18 1923,Oregon State University,Oklahoma City Thunder,0
Jimmy Rodgers,1989,1993,,,Oklahoma City Thunder,0
Robert Rolfe,1947,1947,October 17 1908,Dartmouth College,New Orleans Pelicans,0
Ron Rothstein,1989,1993,,,Orlando Magic,0
Roy Rubin,1973,1973,December 9 1925,,Golden State Warriors,0
Bill Russell*,1967,1988,February 12 1934,University of San Francisco,Orlando Magic,0
John Russell*,1947,1948,May 31 1902,,Houston Rockets,0
Philip Sachs,1947,1947,,,Boston Celtics,0
Ed Sadowski,1947,1947,July 11 1917,Seton Hall University,Detroit Pistons,0
Tom Sanders*,1978,1979,November 8 1938,New York University,Phoenix Suns,0
Flip Saunders,1996,2015,February 23 1955,University of Minnesota,Portland Trail Blazers,0
Ryan Saunders,2019,2019,,,Minnesota Timberwolves,1
Herm Schaefer,1952,1953,December 20 1918,Indiana University,Los Angeles Lakers,0
Fred Schaus,1961,1967,June 30 1925,West Virginia University,New York Knicks,0
Dolph Schayes*,1964,1972,May 19 1928,New York University,Golden State Warriors,0
Mike Schuler,1987,1992,September 22 1940,Ohio University,Denver Nuggets,0
Howie Schultz,1950,1950,July 3 1922,Hamline University,Oklahoma City Thunder,0
Fred Scolari,1952,1952,March 1 1922,University of San Francisco,Chicago Bulls,0
Byron Scott,2001,2016,March 28 1961,Arizona State University,Miami Heat,0
Ray Scott,1973,1976,July 12 1938,University of Portland,Utah Jazz,0
George Senesky,1956,1958,April 4 1922,Saint Joseph's University,Utah Jazz,0
Paul Seymour,1957,1969,January 30 1928,University of Toledo,Phoenix Suns,0
Bill Sharman*,1967,1976,May 25 1926,University of Southern California,Memphis Grizzlies,0
Brian Shaw,2014,2015,March 22 1966,University of California Santa Barbara,Houston Rockets,0
Beryl Shipley,1975,1975,August 10 1926,,Memphis Grizzlies,0
Charley Shipp,1950,1950,December 3 1913,Catholic University of America,Memphis Grizzlies,0
Gene Shue,1967,1989,December 18 1931,University of Maryland,Phoenix Suns,0
Paul Silas,1981,2012,July 12 1943,Creighton University,Boston Celtics,0
Scott Skiles,2000,2016,March 5 1964,Michigan State University,Memphis Grizzlies,0
Jerry Sloan*,1980,2011,March 28 1942,University of Evansville,Los Angeles Lakers,0
Keith Smart,2003,2013,September 21 1964,Indiana University,Memphis Grizzlies,0
Jack Smiley,1950,1950,December 22 1922,University of Illinois at Urbana-Champaign,Minnesota Timberwolves,0
Quin Snyder,2015,2019,October 30 1966,Duke University,Utah Jazz,1
Albert Soar,1948,1948,August 17 1914,Providence College,New York Knicks,0
Erik Spoelstra,2009,2019,November 1 1970,University of Portland,Miami Heat,1
Garry St. Jean,1993,2000,,,Memphis Grizzlies,0
Bob Staak,1997,1997,,,Orlando Magic,0
Larry Staverman,1968,1978,October 11 1936,Thomas More College,Sacramento Kings,0
Jerry Steele,1971,1971,,,Miami Heat,0
Brad Stevens,2014,2019,October 22 1976,DePauw University,Boston Celtics,1
Terry Stotts,2003,2019,November 25 1957,University of Oklahoma,Portland Trail Blazers,1
Ken Suesens,1950,1950,October 23 1916,,Portland Trail Blazers,0
Ed Tapscott,2009,2009,,,Minnesota Timberwolves,0
Jerry Tarkanian*,1993,1993,August 8 1930,California State University Fresno,Houston Rockets,0
Reggie Theus,2008,2009,October 13 1957,University of Nevada Las Vegas,Minnesota Timberwolves,0
Tom Thibodeau,2011,2019,January 17 1958,Salem State University,Dallas Mavericks,0
Isiah Thomas*,2001,2008,April 30 1961,Indiana University,Denver Nuggets,0
Rod Thorn*,1976,1982,May 23 1941,West Virginia University,Golden State Warriors,0
Jim Todd,2000,2000,,,Denver Nuggets,0
Rolland Todd,1971,1972,,,Miami Heat,0
Mike Todorovich,1951,1951,June 11 1923,University of Wyoming,Denver Nuggets,0
Rudy Tomjanovich,1992,2005,November 24 1948,University of Michigan,Orlando Magic,0
Gene Tormohlen,1976,1976,May 12 1937,University of Tennessee,Denver Nuggets,0
Jay Triano,2009,2018,September 21 1958,,Cleveland Cavaliers,0
Wes Unseld*,1988,1994,March 14 1946,University of Louisville,New York Knicks,0
Dick Van Arsdale,1987,1987,February 22 1943,Indiana University,Philadelphia 76ers,0
Butch van Breda Kolff,1968,1977,October 28 1922,New York University,Charlotte Hornets,0
Jeff Van Gundy,1996,2007,January 19 1962,Nazareth College,Detroit Pistons,0
Stan Van Gundy,2004,2018,September 21 1959,State University of New York at Brockport,Phoenix Suns,0
Kiki Vandeweghe,2010,2010,August 1 1958,University of California Los Angeles,San Antonio Spurs,0
Jacque Vaughn,2013,2015,February 11 1975,University of Kansas,Charlotte Hornets,0
Dick Versace,1989,1991,,,Charlotte Hornets,0
Sam Vincent,2008,2008,May 18 1963,Michigan State University,Minnesota Timberwolves,0
Dick Vitale*,1979,1980,June 9 1939,Seton Hall University,San Antonio Spurs,0
Frank Vogel,2011,2018,June 21 1973,University of Kentucky,San Antonio Spurs,0
Darrell Walker,1997,2000,March 9 1961,University of Arkansas,Memphis Grizzlies,0
Donnie Walsh,1979,1981,March 1 1941,University of North Carolina,Memphis Grizzlies,0
Luke Walton,2017,2019,March 28 1980,University of Arizona,Los Angeles Lakers,1
Bobby Wanzer*,1956,1959,June 4 1921,Seton Hall University,Indiana Pacers,0
Earl Watson,2016,2018,June 12 1979,University of California Los Angeles,Cleveland Cavaliers,0
Jim Weaver,1969,1969,,,Phoenix Suns,0
Bob Weiss,1987,2006,May 7 1942,Pennsylvania State University,Utah Jazz,0
Jerry West*,1977,1979,May 28 1938,West Virginia University,Dallas Mavericks,0
Paul Westhead,1980,1992,February 21 1939,Saint Joseph's University,Houston Rockets,0
Paul Westphal*,1993,2012,November 30 1950,University of Southern California,Detroit Pistons,0
John Wetzel,1988,1988,October 22 1944,Virginia Polytechnic Institute and State University,Milwaukee Bucks,0
Lenny Wilkens*,1970,2005,October 28 1937,Providence College,Memphis Grizzlies,0
Herb Williams,2004,2005,February 16 1958,Ohio State University,Los Angeles Clippers,0
Max Williams,1970,1971,,,New York Knicks,0
Monty Williams,2011,2015,October 8 1971,University of Notre Dame,New Orleans Pelicans,0
Tex Winter*,1972,1973,February 25 1922,,Houston Rockets,0
Brian Winters,1996,2002,March 1 1952,University of South Carolina,New Orleans Pelicans,0
Randy Wittman,2000,2016,October 28 1959,Indiana University,Denver Nuggets,0
Dave Wohl,1986,1988,November 2 1949,University of Pennsylvania,Cleveland Cavaliers,0
Charles Wolf,1961,1965,,,Utah Jazz,0
Mike Woodson,2005,2014,March 24 1958,Indiana University,Denver Nuggets,0
Draff Young,1974,1974,,,Minnesota Timberwolves,0
Verl Young,1969,1969,,,Oklahoma City Thunder,0
Max Zaslofsky,1968,1969,December 7 1925,St. John's University,Atlanta Hawks,0
